Station Neg Pos Neg1 Neg2 Pos1 Pos2
71925__Cambridge_Bay__NT_YCB 48.13 51.87 39.68 60.32 67.62 32.38
71925__Cambridge_Bay__NT_YCB 54.38 45.62 35.82 64.18 69.20 30.80
71925__Cambridge_Bay__NT_YCB 57.44 42.56 34.68 65.32 31.28 68.72
71926__Baker_Lake__NT_YBK 59.15 40.85 32.80 67.20 70.45 29.55
71926__Baker_Lake__NT_YBK 57.21 42.79 66.05 33.95 69.76 30.24
71926__Baker_Lake__NT_YBK 52.49 47.51 65.23 34.77 30.70 69.30
71926__Baker_Lake__NT_YBK 45.95 54.05 65.12 34.88 68.39 31.61
71926__Baker_Lake__NT_YBK 40.76 59.24 63.88 36.12 66.45 33.55
71926__Baker_Lake__NT_YBK 41.39 58.61 34.15 65.85 31.54 68.46
71926__Baker_Lake__NT_YBK 38.39 61.61 33.64 66.36 33.17 66.83
71926__Baker_Lake__NT_YBK 41.06 58.94 64.93 35.07 68.14 31.86
71926__Baker_Lake__NT_YBK 44.52 55.48 38.08 61.92 66.04 33.96
71926__Baker_Lake__NT_YBK 48.13 51.87 39.68 60.32 67.62 32.38
71926__Baker_Lake__NT_YBK 54.38 45.62 35.82 64.18 69.20 30.80
71926__Baker_Lake__NT_YBK 57.44 42.56 34.68 65.32 31.28 68.72
71934__Fort_Smith__NT_YSM 59.15 40.85 32.80 67.20 70.45 29.55
71934__Fort_Smith__NT_YSM 57.21 42.79 66.05 33.95 69.76 30.24
71934__Fort_Smith__NT_YSM 52.49 47.51 65.23 34.77 30.70 69.30
71934__Fort_Smith__NT_YSM 45.95 54.05 65.12 34.88 68.39 31.61
71934__Fort_Smith__NT_YSM 40.76 59.24 63.88 36.12 66.45 33.55
71934__Fort_Smith__NT_YSM 41.39 58.61 34.15 65.85 31.54 68.46
71934__Fort_Smith__NT_YSM 38.39 61.61 33.64 66.36 33.17 66.83
71934__Fort_Smith__NT_YSM 41.06 58.94 64.93 35.07 68.14 31.86
71934__Fort_Smith__NT_YSM 44.52 55.48 38.08 61.92 66.04 33.96
71934__Fort_Smith__NT_YSM 48.13 51.87 39.68 60.32 67.62 32.38
71934__Fort_Smith__NT_YSM 54.38 45.62 35.82 64.18 69.20 30.80
71934__Fort_Smith__NT_YSM 57.44 42.56 34.68 65.32 31.28 68.72
71957__Inuvik__NT_YEV 59.15 40.85 32.80 67.20 70.45 29.55
71957__Inuvik__NT_YEV 57.21 42.79 66.05 33.95 69.76 30.24
71957__Inuvik__NT_YEV 52.49 47.51 65.23 34.77 30.70 69.30
71957__Inuvik__NT_YEV 45.95 54.05 65.12 34.88 68.39 31.61
71957__Inuvik__NT_YEV 40.76 59.24 63.88 36.12 66.45 33.55
71957__Inuvik__NT_YEV 41.39 58.61 34.15 65.85 31.54 68.46
71957__Inuvik__NT_YEV 38.39 61.61 33.64 66.36 33.17 66.83
71957__Inuvik__NT_YEV 41.06 58.94 64.93 35.07 68.14 31.86
71957__Inuvik__NT_YEV 44.52 55.48 38.08 61.92 66.04 33.96
71957__Inuvik__NT_YEV 48.13 51.87 39.68 60.32 67.62 32.38
71957__Inuvik__NT_YEV 54.38 45.62 35.82 64.18 69.20 30.80
71957__Inuvik__NT_YEV 57.44 42.56 34.68 65.32 31.28 68.72
00000_Iqaluit_NU 59.15 40.85 32.80 67.20 70.45 29.55
00000_Iqaluit_NU 57.21 42.79 66.05 33.95 69.76 30.24
00000_Iqaluit_NU 52.49 47.51 65.23 34.77 30.70 69.30
00000_Iqaluit_NU 45.95 54.05 65.12 34.88 68.39 31.61
00000_Iqaluit_NU 40.76 59.24 63.88 36.12 66.45 33.55
00000_Iqaluit_NU 41.39 58.61 34.15 65.85 31.54 68.46
00000_Iqaluit_NU 38.39 61.61 33.64 66.36 33.17 66.83
00000_Iqaluit_NU 41.06 58.94 64.93 35.07 68.14 31.86
00000_Iqaluit_NU 44.52 55.48 38.08 61.92 66.04 33.96
00000_Iqaluit_NU 48.13 51.87 39.68 60.32 67.62 32.38
00000_Iqaluit_NU 54.38 45.62 35.82 64.18 69.20 30.80
00000_Iqaluit_NU 57.44 42.56 34.68 65.32 31.28 68.72
00000_Sachs_Harbour 59.15 40.85 32.80 67.20 70.45 29.55
00000_Sachs_Harbour 57.21 42.79 66.05 33.95 69.76 30.24
00000_Sachs_Harbour 52.49 47.51 65.23 34.77 30.70 69.30
00000_Sachs_Harbour 45.95 54.05 65.12 34.88 68.39 31.61
00000_Sachs_Harbour 40.76 59.24 63.88 36.12 66.45 33.55
00000_Sachs_Harbour 41.39 58.61 34.15 65.85 31.54 68.46
00000_Sachs_Harbour 38.39 61.61 33.64 66.36 33.17 66.83
00000_Sachs_Harbour 41.06 58.94 64.93 35.07 68.14 31.86
00000_Sachs_Harbour 44.52 55.48 38.08 61.92 66.04 33.96
00000_Sachs_Harbour 48.13 51.87 39.68 60.32 67.62 32.38
00000_Sachs_Harbour 54.38 45.62 35.82 64.18 69.20 30.80
